country,year_week,new_cases,number_sequenced,percent_cases_sequenced,variant,number_detections_variant,percent_variant
Bulgaria,2021-03-21,24866,168.0,0.7,B.1.351,0,0.0
Croatia,2021-03-21,6615,0.0,0.0,B.1.351,0,
Cyprus,2021-03-21,2567,0.0,0.0,B.1.351,0,
Czechia,2021-03-21,64913,185.0,0.3,B.1.351,8,4.3
Denmark,2021-03-21,5206,0.0,0.0,B.1.351,0,
Estonia,2021-03-21,10308,195.0,1.9,B.1.351,1,0.5
Finland,2021-03-21,4739,10.0,0.2,B.1.351,0,0.0
France,2021-03-21,210941,2698.0,1.3,B.1.351,163,6.0
Germany,2021-03-21,91376,7235.0,7.9,B.1.351,143,2.0
Greece,2021-03-21,15978,133.0,0.8,B.1.351,1,0.8
Hungary,2021-03-21,56446,0.0,0.0,B.1.351,0,
Iceland,2021-03-21,36,0.0,0.0,B.1.351,0,
Ireland,2021-03-21,3858,905.0,23.5,B.1.351,21,2.3
Italy,2021-03-21,153234,2366.0,1.5,B.1.351,9,0.4
Latvia,2021-03-21,3628,405.0,11.2,B.1.351,1,0.2
Liechtenstein,2021-03-21,19,0.0,0.0,B.1.351,0,
Lithuania,2021-03-21,3696,1147.0,31.0,B.1.351,2,0.2
Luxembourg,2021-03-21,1539,357.0,23.2,B.1.351,91,25.5
Malta,2021-03-21,1313,0.0,0.0,B.1.351,0,
Netherlands,2021-03-21,45084,1618.0,3.6,B.1.351,62,3.8
Norway,2021-03-21,6499,389.0,6.0,B.1.351,21,5.4
Poland,2021-03-21,155602,776.0,0.5,B.1.351,1,0.1
Portugal,2021-03-21,3265,26.0,0.8,B.1.351,1,3.8
Romania,2021-03-21,38177,20.0,0.1,B.1.351,0,0.0
Slovakia,2021-03-21,11310,253.0,2.2,B.1.351,0,0.0
Slovenia,2021-03-21,5738,752.0,13.1,B.1.351,1,0.1
Spain,2021-03-21,33741,602.0,1.8,B.1.351,8,1.3
Sweden,2021-03-21,33042,1507.0,4.6,B.1.351,37,2.5
Austria,2021-03-21,20991,225.0,1.1,Other,14,6.2
Belgium,2021-03-21,29403,1198.0,4.1,Other,98,8.2
Bulgaria,2021-03-21,24866,168.0,0.7,Other,5,3.0
Croatia,2021-03-21,6615,0.0,0.0,Other,0,
Cyprus,2021-03-21,2567,0.0,0.0,Other,0,
Czechia,2021-03-21,64913,185.0,0.3,Other,5,2.7
Denmark,2021-03-21,5206,0.0,0.0,Other,0,
Estonia,2021-03-21,10308,195.0,1.9,Other,39,20.0
Finland,2021-03-21,4739,10.0,0.2,Other,3,30.0
France,2021-03-21,210941,2698.0,1.3,Other,391,14.5
Germany,2021-03-21,91376,7235.0,7.9,Other,990,13.7
Greece,2021-03-21,15978,133.0,0.8,Other,15,11.3
Hungary,2021-03-21,56446,0.0,0.0,Other,0,
Iceland,2021-03-21,36,0.0,0.0,Other,0,
Ireland,2021-03-21,3858,905.0,23.5,Other,21,2.3
